group,team,rating
A,Germany,1953
A,Scotland,1759
A,Hungary,1777
A,Switzerland,1838
B,Spain,2057
B,Croatia,1914
B,Italy,1957
B,Albania,1635
C,Slovenia,1740
C,Denmark,1827
C,Serbia,1788
C,England,1994
D,Poland,1735
D,Netherlands,1985
D,Austria,1852
D,France,2088
E,Belgium,1945
E,Slovakia,1714
E,Romania,1714
E,Ukraine,1786
F,Turkey,1778
F,Georgia,1637
F,Portugal,2014
F,Czech Republic,1766
